messages,all_authors,timestamps,money
JUSTICE FOR JD :red_heart:,Malwolf9,-0:51,0
supposedly JD is supposed to testify tomorrow ,EmmaLee Inman,-0:51,0
:rose::hot_beverage:Prayers for your children John and Vanessa...,dodgingbullets,-0:49,0
both are abusers,TFalcon,-0:48,0
Justic for Johnny ,:———X,-0:48,0
DO IT FOR JOHNNY,Brown Eyez,-0:48,0
May God be with Johnny and his attorneys. ,RH,-0:44,0
:buffering:,Mahsa Mmm,-0:44,0
justice for Johnny!,Sabrine EB,-0:43,0
#JusticeForJohnny,Janae Winemiller,-0:41,0
team johnny,Claire mckechnie,-0:39,0
No winners here,TFalcon,-0:39,0
team johnny!!!!,mimi,-0:39,0
@Jennifer Williams she popped in what bed?? Haven't heard this story.,Brianna Smith,-0:38,0
:popcorn:,Roy4114,-0:37,0
Justice for Johnny :red_heart:,Kaffekaffe Kaffe,-0:36,0
We love you Johnny :red_heart:,Ana Pippen,-0:34,0
#Justiceforjohnny,KongSkullIsland,-0:33,0
WHERE IS THE 7 MILLION AMBER PROMISED TO DONATE?,Jess lyn,-0:32,0
:balance_scale:,Wise men Still seek Him,-0:29,0
@Roy4114 I literally have mine,Suzanne Millius,-0:24,0
how much is he suing her for? 50 mil?,Baybedogge,-0:23,0
Team Johnny ,Aimee Nicholl,-0:22,0
JOHNNY WE ARE WITH YOU:red_heart:,Anastasia Axel,-0:18,0
We love you Johnny :red_heart:,Baby Pilli,-0:18,0
:red_heart: Johnny ,Gincidents Happen,-0:17,0
idk why I still get this impending feeling that the court will favor amber and if that happens I will have completely lost faith in our justice system (I already have min. faith),Elizabeth C. A.,-0:15,0
EMMALE: Do you know this for a fact? :grinning_face:,Begitte Olsen,-0:13,0
:heart_suit::heart_suit::heart_suit::heart_suit: JUSTICE FOR JOHNNY :heart_suit::heart_suit::hundred_points::hundred_points::flexed_biceps::flexed_biceps:,Blanca Martinez,-0:12,0
knock out yum yum,lynzi elle,-0:12,0
@tFalcon I agree with you. It’s so sad,:———X,-0:11,0
Yes 50m ,kayla micky,-0:10,0
🇬🇧,Ebony,-0:10,0
Brianna in the bed johnny slept in.,mothafucka,-0:09,0
:rose:For you JD,dodgingbullets,-0:08,0
Justice for Johnny :red_heart:,Malwolf9,-0:08,0
This will be another nerve racking week. Praying for Johnny's team :folded_hands::green_heart:,Janae Winemiller,-0:07,0
"Brianna, she pooped in their bed as a prank",Jennifer Williams,-0:07,0
@Brianna Smith search up amber heard pooping in bed and go to images,Suna,-0:06,0
Go johnny,The Gaming Giants,-0:05,0
Amber lawyer was heard saying she can't keep lying,Dorothy Royale Douglas,-0:05,0
AMBER IS A C U NEXF TUESDAY ,Brown Eyez,-0:04,0
