messages,all_authors,timestamps,money
if johnny lawyers objected as much as ambers it would make them look guilty and trying to hide smth so imo AH lawyers are making amber look even more guilty by trying to avoid questions,rainy,-6:52,0
#CaptainSparrow:pirate_flag::pirate_flag::pirate_flag: you've got this win.,Valerie Calorie,-6:43,0
Good morning from NY :slightly_smiling_face: Watching while I work! ,Robin Hazen,-6:29,0
I thought Christi did well too,snakehands,-6:12,0
"i would have pulled a Bill Clinton. It depends on you what your definition of the word ""is"" is...",Mexican Marauder,-6:12,0
Demon Depp:smiling_face_with_horns:,ANON,-6:11,0
"2,11 pm here in uk ",Linda Richardson,-6:02,0
here its 15:11,Mia Ferreira,-6:00,0
@Andrea Linda I agree with you with the exception the jury can use that against him. I'm worried about the sister,Julie bella,-5:47,0
:pirate_flag::pirate_flag::pirate_flag::pirate_flag::pirate_flag::pirate_flag::pirate_flag: 0612 here,snakehands,-5:36,0
#Ambuser #Ambertu:pile_of_poo:rd,Valerie Calorie,-5:35,0
depps sister failed so bad saying she saw amber on a day she didn't...,Christina Stevens,-5:30,0
Hello y’all ,Alice of Legend,-5:27,0
#JusticeforJohnny,ARAM,-4:39,0
"and the stop alcohol, drugs. pills",Christina Stevens,-4:38,0
#CaptainSparrow,Valerie Calorie,-4:26,0
and she fail to say because off that priexe in the news papier Johnny did lose alot off work,Mia Ferreira,-4:18,0
"Everyone in they world is watching this trial ,It seems .",Linda Richardson,-4:17,0
i wonder why it moved to 10:00 am,ReekaRanda,-4:16,0
"depps going down, great to see",Christina Stevens,-3:59,0
Johnny needs to get a new attorney he is doing nothing for him to help his case,The real Angel Girl 1,-3:49,0
I might watch the trial on a different channel today - heard L&C flagged a bunch of videos yesterday for copyright but they don't own this feed (kind of a d*ck move),snakehands,-3:39,0
Is it time yet?,Mytube777,-3:38,0
"I don't think the coke and alcohol is going to hurt his case much. They're going after his credibility, but there's just so much against Amber. It's going to get nasty.",Andrea Linda,-3:36,0
There was note passing at yesterdays trial on ambers side apparently which is illegal passing notes to someone who is not on your legal team,suku,-3:34,0
"ya put Ambuser on the stand, they will rip her to bits. Ya I caught that, too @suku I hope something happens regarding it",snakehands,-2:45,0
Who did she pass notes to? I missed that. ,AyooKristenn,-2:44,0
@suku I didn't notice that. Who was it?,Julie bella,-2:39,0
"It was so sad to see him loose his last case ,here in the uk",Linda Richardson,-2:34,0
#JUSTICEFORJOHNNYDEPP :red_heart::raising_hands:,Hind00JD,-2:22,0
Eve Barlow - one of her goons,snakehands,-2:09,0
Amber passed notes to her attorneys,Sixend,-2:04,0
"He""ll win this one this time.",Ma Abraham,-1:57,0
"I'm not sure, I will look into the note passing and see who it was",suku,-1:38,0
