messages,all_authors,timestamps,money
"Eve Barlow is not an attorney, she says she is a ""journalist""",snakehands,-1:29,0
"""This is the day you will always remember as the day that Amber Tu:pile_of_poo:rd almost.... won against Captain Jack Sparrow.",Valerie Calorie,-1:18,0
The person she was passing the note to is Eve Barlow she is a friend of Ambers - heavily supportive and not very nice either! ,Crissy Rummins Fredrickson,-1:09,0
It was a note to a girl behind the barrier,suku,-1:07,0
Who is taking the stand today? ,Emma Louise,-1:00,0
suku can't someone do that? and why,Mia Ferreira,-0:58,0
What have I missed? When I read some comments everybody is in Johnny Depp‘s camp. But testimony just began??,Ken PA,-0:45,0
The girl was in the desk behind her,Sixend,-0:40,0
Eve Barlow says she is a journalist,snakehands,-0:38,0
I can't believe they're still in court after Amber had admitted that she's hit Johnny and thrown things at him...,siiri aatamila,-0:35,0
@Crissy Rummins Fredrickson TY I missed that,Julie bella,-0:31,0
#Ambuser Heard,Valerie Calorie,-0:20,0
Emma Louise his sister,Mia Ferreira,-0:12,0
Another of her attoneys,Sixend,-0:06,0
To my knowledge it is illegal to pass notes to anyone in a court who is not in your legal team. I've seen many others on twitter say the same thing and some have reported it now ,suku,-0:04,0
Amber wad trying to intimidate Johnnys sister writing notes to her attorney ,Linda Richardson,-0:00,0
if nothing else Eve Barlow should be thrown out of the court,snakehands,0:21,0
FINALLY,The Nightingale,0:23,0
#TeamJohnnyDepp,Deb,0:26,0
good morning everyone!,boneso1dier,0:28,0
noise,C R,0:31,0
send amber to jail,The Thinker,0:32,0
When does this start?,KT Isab,0:33,0
finally,Mia Ferreira,0:33,0
ears dead,qeem,0:33,0
earrrrrs,lynzi elle,0:37,0
YAYY,Nomi nomiii,0:39,0
hi everyone,sophie,0:40,0
good morning and good evening everyone,TuGatita Imvu,0:44,0
Good morning!! ,Hallie Linn,0:44,0
Good morning ,Connie Hill,0:46,0
wth is the noise,Independent thinker,0:47,0
does amber get punished for writing notes?,siiri aatamila,0:48,0
But it doesnt start until 40 min...,Sixend,0:51,0
Good morning my fellow observers :slightly_smiling_face: ,Robin Hazen,0:53,0
And here we are once again ,Charlotte Howlett,0:53,0
Good Day from Jay Vermont,Truthshoes101,0:54,0
:pirate_flag::pirate_flag::pirate_flag:,AyooKristenn,0:55,0
Buzzzzzzz,Linda Richardson,0:58,0
AMber jail,Erisa Delaj,0:59,0
my ears offf,Sea lover,0:59,0
GOD MY EARS,Luke moss,1:00,0
hi guys,Polina,1:04,0
i hear a low noise.... like bzzzzzzzzzz,ReekaRanda,1:05,0
ehhhhhhhhh no like that noise,snakehands,1:05,0
here we go again,Aldene Ygoña,1:05,0
it starts in 41 mi utes,Esmee Malfoy,1:06,0
"Let's see what happens today, I believe Johnnys sister is still getting grilled at by Ambers side",suku,1:06,0
Hello chatters :yougotthis:,Elaine Mackenzie,1:11,0
Amber looks like such a sweet young girl Johnny Depp is so bloated from drinking,Ronald Jeffers,1:11,0
Let’s do this depp fans,Hayden Ellingworth,1:11,0
My ears ,Nicole Wilmot,1:15,0
we are the youtube judges hahaha,Mia Ferreira,1:15,0
That horrible sound is back,Jessica Sick,1:16,0
good Evening watching from India :red_heart::red_heart:,The Thinker,1:16,0
is this going to be going off for 40 minutes :loudly_crying_face:,sophie,1:18,0
:victory_hand:,Dawn Panek,1:18,0
And were live:police_car_light:,Valerie Calorie,1:19,0
LET'S GO JOHNNY!! :red_heart::red_heart:,Kass,1:19,0
TEAM JOHNNY!,Kris H,1:20,0
good afternoon from denmark,Wendi,1:20,0
fixed audio lol,Knilat 846,1:23,0
afternoon from the uk 🇬🇧 :waving_hand: hope johnny wins,Kirsty Price,1:24,0
Christina's just here to troll,Andrea Linda,1:26,0
We still have 40 mins,AyooKristenn,1:27,0
I watch it yesterday,Maddiexcx,1:27,0
His sister has to answer more questions today? :face_with_open_mouth: She answered so many yesterday! ,Emma Louise,1:32,0
LET'S GO JOHNNY WE'RE ALL BEHIND YOU KING,boneso1dier,1:37,0
Drama starts again,Corina Daschievici,1:37,0
justice for jhonny depp,Sea lover,1:39,0
I thought JD had to gain weight for his role in Minamata?,snakehands,1:40,0
Pls im tired of Amber's liess:raised_back_of_hand:,Aldene Ygoña,1:41,0
#JusticeForJohnnyDepp,Бравый Чел,1:43,0
who's winning?,G Smith,1:43,0
COME ON JOHNNY DAY 2,kelly Baden,1:44,0
go johnny don't give in on the golddigger,PaintandWinewithMaria Mk,1:45,0
:rose:morning all...With you and here for you John,dodgingbullets,1:46,0
who was here yesterday,sophie,1:48,0
hallo from South Africa :blue_heart::waving_hand::blue_heart::waving_hand::blue_heart::waving_hand::blue_heart::waving_hand::blue_heart::globe_showing_europe_africa::globe_showing_europe_africa::globe_showing_europe_africa::globe_showing_europe_africa::globe_showing_europe_africa:,Mia Ferreira,1:53,0
They have an hour of questioning for his sister left,Jess_Maddox_Xx,1:56,0
Good Evening guys! Watching from Indonesia,Nissa Peony,1:56,0
my cat is like what is tht sound,rainy,1:57,0
DAY 2 BABY LETS GOOOOOOOO,MISTER PUFF,1:57,0
i just watching a video and than this sound appear i was so scared,Polina,1:59,0
I'm here for the drama ,Erisa Delaj,2:00,0
What time does this start today?,peace_love&muzic,2:00,0
#AmberTurd,Luke moss,2:00,0
Good afternoon Y'all watching from the UK,Natfem Natfem,2:03,0
"Her sister has another hour of testifiying, yeah",Sixend,2:03,0
I see the wifebeater’s PR bots are in full effect ,K Z,2:04,0
#justiceforjohnnydepp Amber Heard has admitted that she's hit Johnny and thrown stuff at him,siiri aatamila,2:06,0
"Be sure to HIT THAT LIKE BUTTON, Like & Subscribe so you get notified when we go live!",Nightbot,2:06,0
Turn your volume down til it starts. Should be easy enough for all of you.,Denise Westrick,2:11,0
#Day2 #CaptainSparrow,Valerie Calorie,2:11,0
@Emma Louis They said they had about an hour of questioning left for her when they ended yesterday ,David,2:12,0
:victory_hand::slightly_smiling_face::victory_hand:,J4Y,2:14,0
we are with you john,avigail daniel,2:14,0
Have any of y’all seen the clip of amber MEANING to hit Johnny,Nicole Wilmot,2:15,0
Scotland in the chat :goodvibes:,Elaine Mackenzie,2:16,0
I hope Johnny wins ,Bronx Hero,2:17,0
when that defense lawyer said that johnny ripped off AH nightgown and penetrated AH with a liquor bottle i was like WTH... sounds like gone girl,ReekaRanda,2:18,0
:money_mouth_face: Johnny,Erisa Delaj,2:34,0
I think it starts at 10,Kass,2:34,0
Mute button works too,Truthshoes101,2:35,0
"It starts in 40 minutes, people",Sixend,2:35,0
Amber looks like such a sweet young girl Johnny Depp's face so bloated from drinking,Ronald Jeffers,2:36,0
JUSTICE FOR JOHNNY!!,MISTER PUFF,2:48,0
#JUSTICEFORJOHNNYDEPP,peace_love&muzic,2:50,0
ya I muted it,snakehands,2:52,0
@wendy good afternoon it’ is also afternoon here in England ,Linda Richardson,2:53,0
how do. I get the slow mode off????,Mia Ferreira,2:54,0
#JusticeForJohnnyDepp ! #KaptenJackSparrow :rose::rose::rose::rose:,Nissa Peony,2:56,0
:rose:Have you changed your mind yet Hamber?...Get about your life before John Depp...,dodgingbullets,2:57,0
I hope that note passing issue was brought to the judges attention ,suku,2:59,0
does anyone know what time it starts? I just got on.,BEEZKPR,3:00,0
:virtualhug:,Talya Vaks,3:01,0
40 mins,AyooKristenn,3:03,0
LET'S GO!! WE'RE HERE FOR YOU JOHNNY DEPP:red_heart::red_heart::red_heart: #JusticeForJohnnyDepp,Aldene Ygoña,3:03,0
Find out where you can watch Law&Crime Network In your area or even on YoutubeTV! https://lawandcrime.com/where-to-watch/,Nightbot,3:04,0
Live at 9:30AM EST,Valerie Calorie,3:05,0
"Yes, mute button works too.",Denise Westrick,3:05,0
Justice for Johnny!,Luke Maher,3:08,0
his sister was shocking yesterday.....,Christina Stevens,3:13,0
It doesn't matter if Amber LOOKS like a sweet girl if she's an abuser,siiri aatamila,3:14,0
No justice for Amber ,Corina Daschievici,3:22,0
LOVE YOU JOHNNY!!!!,Angelina Mullins,3:22,0
#justiceforjohnny,Kimberly Caplinger,3:24,0
Mia you can't take slow mode off,Kass,3:26,0
when is it starting?,Farheen Rasool,3:29,0
"She wasn’t shocking, actually, really really good.",Eliza McMurray,3:32,0
let's go Amber let's go Amber let's get that Johnny Depp for what he did,Ronald Jeffers,3:32,0
Ahh that noise ,Isla McTear,3:32,0
Keadilan untuk Tuan Depp ! :red_heart::red_heart::red_heart::red_heart::rose::rose::rose:,Nissa Peony,3:39,0
the beeeeep is soothing,Tommy Bounds,3:42,0
JUSTICE FOR JOHNNY DEPP,EtFoxthing,3:43,0
"affetto , stima e solidarietà per Johnny depp dalla sicilia:blue_heart:",Azzurra Mortellaro,3:43,0
@kass thank you lol hahaha,Mia Ferreira,3:44,0
":police_car_light:if any of u are Heard supporters, leave:police_car_light:",Valerie Calorie,3:53,0
Starts at 10,LadyNYC211,3:57,0
omg its 15:21 here,Sea lover,3:59,0
WE'RE HERE FOR YOU JOHNNY!!:red_heart::red_heart::sparkles: #JusticeForJohnnyDepp,Aldene Ygoña,4:01,0
Noise is like having a drill through ur head mods plz sort it,J4Y,4:02,0
His sister is quite remarkable with the words she uses and how calm she is.,Denise Westrick,4:03,0
Sister did well in denying and making sure that her words weren't being twisted,Luke moss,4:08,0
#JUSTICEFORJOHNNYDEPP :crossed_fingers::crossed_fingers::folded_hands:,Louise Almeida,4:09,0
can't believe Warner Bros kicked Johnny depp out but still kept Amber Heard.. :0,Outraw,4:10,0
jonnys sister was being asked the same question over and over again,Slayer Canji,4:10,0
I wish he'd wear his pirate outfit to trial.,Dave Karnowski,4:10,0
im guessing 19 am,Terri Upchurch,4:10,0
she is young so obviously she look good :smirking_face::smirking_face:or makeup help more,The Thinker,4:11,0
Their therapist is going to testify. Is JD side calling her. Should be interesting,Julie bella,4:13,0
Johnny :blue_heart::rose::blue_heart:,Miss Helen Rose,4:14,0
:buffering:,Nissa Peony,4:17,0
When does it start,Pmz,4:17,0
Heard supporters are welcome to watch lol they are few and far between ,Eliza McMurray,4:20,0
Ronald Jeffers what are you on? Amber HAS ADMITTED multiple times that she has hit Johnny,siiri aatamila,4:20,0
we're here for you Amber we're here for you,Ronald Jeffers,4:24,0
Mia no problem :red_heart:,Kass,4:26,0
#justiceforjohnnydepp :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:all the way from South Africa :globe_showing_europe_africa::blue_heart::waving_hand::blue_heart::globe_showing_europe_africa::waving_hand::blue_heart::globe_showing_europe_africa::waving_hand::blue_heart::globe_showing_europe_africa::waving_hand:,Mia Ferreira,4:26,0
We are with you Johnny :red_heart:,EtFoxthing,4:27,0
Reminds me of the War of the Roses,Truthshoes101,4:29,0
Love you Johnny ,Nolan A Hannigan,4:42,0
10 am that is,Terri Upchurch,4:43,0
:slightly_smiling_face:,MD G,4:43,0
Upinsmoke … mute it on your end,Denise Westrick,4:44,0
"Watching from Paris, France. So stressed out by this trial. The power and recklessness of malignant narcissists is frightening ",Cécilia FG,4:47,0
FIX THE AUDIO SMDH,MDR Reville,4:49,0
WE'RE HERE FOR YOU JOHNNY!!:red_heart::red_heart::sparkles: #JusticeForJohnnyDepp,Aldene Ygoña,4:49,0
SOUNDDDDDDDDDDDDDDDDD,Ramon,4:50,0
ahh,Reva,4:51,0
Starts in 40 minutes,Lisa Fuselier,4:52,0
:police_car_light:say aye! if u think JD should show up as Captain Sparrow to the trial?:police_car_light:,Valerie Calorie,4:53,0
6:22 California ,Georgie Celli,4:53,0
Please mute,Austin Drew,4:53,0
just wanted to see smile on Johnny face,The Thinker,4:57,0
Justice for Johnny Depp,Maria Lentz,4:57,0
BEEEEEEEEEEEEEEEEEEEEEEEEEEP,Michael,5:00,0
its 3: 22 pm in France,Sea lover,5:00,0
Amber is innocent ,Corina Daschievici,5:04,0
mute,Melaniejj,5:05,0
ayeee,Nomi nomiii,5:06,0
i love gere,Talya Vaks,5:07,0
how dose one mute,Slayer Canji,5:10,0
Yes o thought she did well under the circumstances. She gave back what she got Twisted their words. Good for her ,Linda Richardson,5:10,0
Denise west Rick I hav but not the point,J4Y,5:11,0
aye,ReekaRanda,5:12,0
14.20pm here in UK,Sandra Cook,5:16,0
Love you Johnny,MD G,5:18,0
Tennessee,Tommy Bounds,5:19,0
watching from Mumbai!!,Outraw,5:22,0
 Bye Felicia (Amber supporters)!!!,Kris H,5:23,0
mute,colbaltanne,5:24,0
Suppose to start at 9 am on east coast ,hope buckley,5:25,0
AYEEE!:pirate_flag:,Aldene Ygoña,5:27,0
aye:pirate_flag::thumbs_up:,Valerie Calorie,5:28,0
3:23 pm in Czech republic,Princess Madness,5:28,0
That buzzing noise is what it sounds like when RottyBotty starts talking,Admiral Riff-Raff,5:31,0
They need to turn that mic off lol,Kassie Rodriguez,5:32,0
"Amber is not innocent, she has admittef and said that she has hit Johnny. WHAT in that is innocent???",siiri aatamila,5:34,0
watching from France ,Sea lover,5:34,0
Arizona here,TFalcon,5:37,0
WE HAVE TO LISTEN 40 MIN AT A BEEPPPPPPPPPPPPPPPPPPP,Ramon,5:42,0
6:53 PM in India :red_heart:,The Thinker,5:44,0
Johnny will win! :red_heart::red_heart:,Kass,5:47,0
9:23pm in Malaysia,Zoelie Mah,5:47,0
Love for amber:virtualhug:,Talya Vaks,5:47,0
KEADILAN UNTUK TUAN DEPP !!! :red_heart::red_heart::red_heart::red_heart::rose::rose::rose::rose:,Nissa Peony,5:48,0
how long till its started ?,Bilduwa zone,5:50,0
Johnny needs treatment. Leave women alone. ,Deborah F.,5:55,0
"Waited all morning for this to start, watching from UK",Louise Cooper,5:56,0
#justiceforjonnydepp :purple_heart::purple_heart:,Tia Wynn,5:57,0
Upinsmoke … move on,Denise Westrick,5:58,0
its 9:37am EST,Terri Upchurch,5:58,0
Please don’t feed to Amber :pile_of_poo: trolls.~,Kaspurr M,5:58,0
hope Johnny Depp wins,teo,6:00,0
Fix the beeeeeeeeeeeeeeeeeeep pls.,EtFoxthing,6:02,0
justice for Johnny,Tito Guerrero,6:04,0
why virginia,PaintandWinewithMaria Mk,6:04,0
who's playing with the camera lol,ReekaRanda,6:05,0
Johnny :blue_heart::blue_heart::blue_heart:,Julissa C,6:05,0
amber supporters should already be disappointed in her actions and the way she treated her ex husband smh narcissistic woman!,Kimberly Caplinger,6:05,0
this is live now,rotten tomatoes,6:07,0
FIXED AUDIO,Knilat 846,6:07,0
turn your sound down until it starts,colbaltanne,6:08,0
hi y'all,Camelia Reynolds,6:08,0
Have any of y’all seen the clip where amber was meant to it Johnny ,Nicole Wilmot,6:09,0
Justice for Amber!,TFalcon,6:10,0
Be strong Johnny we believe you !!!,Sea lover,6:12,0
:rose:Respect...Here for you John...,dodgingbullets,6:12,0
Justice for Johnny!,Admiral Riff-Raff,6:13,0
"Wth is the shield supposed to depict, murder lol",J4Y,6:13,0
Johnny Depp is just sitting there melting into lies and so bloated,Ronald Jeffers,6:17,0
Amber will win,Corina Daschievici,6:22,0
cant wait for jonny to win this,Slayer Canji,6:23,0
About 40 minutes until it starts,Kass,6:24,0
ok what's with blowing my speakers?,Angela Zecha,6:28,0
JFJD :pirate_flag::pirate_flag::pirate_flag: #CaptainSparrow for the win,Valerie Calorie,6:28,0
justic for johnny,avigail daniel,6:29,0
Is this a hearing test? ,Biggils,6:31,0
when is starting the trial today? I am watching from Europe,Ella Who?,6:34,0
"Let's face it , they are both toxic people and are both guilty!",Kristina James Tucker,6:35,0
This noise :skull::skull:,EvieH,6:38,0
"Hope it goes well for Johnny, the truth should come out! :folded_hands::red_heart::purple_heart::orange_heart:",Alanna Rutter,6:38,0
Elevator music would have been nice ,Truthshoes101,6:42,0
Gosh why does the Audio sounds like that,Aldene Ygoña,6:44,0
fix the sound,Bilduwa zone,6:44,0
GO JOHNNY :raising_hands:,Hind00JD,6:45,0
Virginia headquarters of Washington post,Kimberly Caplinger,6:45,0
 I have turned Volume off BUZZZZZ,Linda Richardson,6:45,0
starts 3pm uk time 🇬🇧 Justice 4 Johnny :balance_scale:,Miss Helen Rose,6:46,0
How can people actuallu support Amber when she has said herself that she has literally hit Johnny? :face_with_tears_of_joy:,siiri aatamila,6:46,0
If you believe johnny depp clap your hands !,Sea lover,6:46,0
4PM Netherlands,EtFoxthing,6:47,0
fix the speakers.,Ron Stillwell,6:48,0
Amber will win,Talya Vaks,6:48,0
next divorce Billy ray cyrus achy breaky heart now it's in your head too,Tommy Bounds,6:53,0
That woman standing over that man in the seal is not believable.,Jaqen Hghar,6:53,0
justice for Johnny,The Thinker,6:58,0
Justice for Johnny!,Lisa Fuselier,6:59,0
can't wait for Amber to win,Ronald Jeffers,6:59,0
headphone warning :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,Benjamin Williams,7:03,0
@Ella Who? 17:00 i think,KisSA,7:05,0
When you hear the beeeeeeeep super market sweep :grinning_face_with_sweat:,Elaine Mackenzie,7:09,0
Johnny!!! We believe you!!! ,EvieH,7:09,0
I think the sister is an awful witness for her brother..seems so obvious her motive and she is deceptive.,daniel Bobberson,7:12,0
"we are sorry to inform you all that the keyboard player has just passed away, we are currently looking to remove his head from the keyboard.......",Mark Connolly,7:12,0
The only thing in this case thats being murdered is Johns reputation by a gold digger...,dodgingbullets,7:15,0
Justice for jd ..,Renee Mitchell,7:16,0
Love this song :musical_notes: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO :musical_notes: ,J,7:17,0
Go Tuan Depp ! :red_heart::red_heart::red_heart::rose:,Nissa Peony,7:19,0
is the state seal a picture of Amber standing on Depp's chest?,Dave Karnowski,7:22,0
It's the sound of the longest swear word in the world being beeped out. ,Sam Deane,7:23,0
When does it start? ,Esme Ward,7:25,0
:police_car_light:Heard supporters shouldn't be here,Valerie Calorie,7:26,0
why should amber win?,JBrew,7:26,0
One day of testimony and you’re all so sure of its conclusion. Delusional.,Denise Westrick,7:28,0
Ronald dude she's not going to win.. :skull:,Kass,7:28,0
Dangerous Depp Wife Beater:goblin:,ANON,7:28,0
bloop,Aleksandra Jarosz,7:31,0
When does it start?:red_heart:,Märta Carlsson,7:31,0
tap your speakers.. it's sounds nice,Outraw,7:31,0
look how heavy and Big Johnny Depp is look how fragile Amber looks,Ronald Jeffers,7:32,0
I don't believe him at all!,Corina Daschievici,7:36,0
my ears hurt:face_with_tears_of_joy:,char xlie,7:38,0
"Kristina... no, she's the only one who is toxic",Princess Madness,7:43,0
why is it hard to believe that she is the abuser,Kimber 420,7:44,0
from north carolina here. be strong johnny do let her. get to you. take a cushion for those hard seats. its not cali its VA. lolol,Ron Stillwell,7:48,0
it's 9:25pm here in the Philippines 🇵🇭🇵🇭🇵🇭,Aldene Ygoña,7:49,0
LMAO Dave,Wondertwin DD,7:49,0
My ears hurt,Juice Sessions,7:50,0
It starts at 2:30 for the Uk time,EvieH,7:51,0
love how theres 95% with jonny and 5% with amber,Slayer Canji,7:55,0
What a weird seal. ,Marty McFly,7:56,0
Amber :backhand_index_pointing_right::snake::snake::snake:,Benjamin Williams,7:57,0
Johnny Depp may be a victim of his own leftist politics hahahahaha,Biggils,8:00,0
"Heard used to beat up horses, her own lawyer said",Admiral Riff-Raff,8:02,0
Ironic isn't it @Dave Karnowski ,Truthshoes101,8:03,0
I hope JD will win this trial.. #justiceforjohnnydepp,MiniPouce,8:04,0
I should make this sound my ringtone,Christina,8:04,0
Ronald the looks Don't matter when Amber is an abuser...,siiri aatamila,8:07,0
Wouldn’t it be cool if everybody said where they were from? I’m in California ,Mytube777,8:09,0
Corina is back from yesterday :face_with_tears_of_joy:,Nicole Wilmot,8:10,0
@outraw :grinning_face_with_sweat::grinning_face_with_sweat:,Jayde,8:10,0
all court starts at 930am right? :woman_shrugging:,Melissa Nicole,8:12,0
only abusers and narcs believe amber,DC LX VI DIVINIZED,8:16,0
Ronald Jeffers she wasn’t that innocent she cut the poor dudes finger off,J4Y,8:18,0
Netherlands,EtFoxthing,8:22,0
@Kimber 420 cause people haven’t done their research and falling for her looks :face_with_rolling_eyes:,PandaGirl,8:27,0
"hey guys, this channel keeps copy striking smaller creaters for trying to stream the court case, they are trying to own a public trial. if you'd be so kind as to go to another channels live and watch",Dealing With Delta,8:30,0
I'm watching from Indonesia,Nissa Peony,8:30,0
They are BOTH toxic and bad for each other. Period.,Denise Westrick,8:32,0
Sweden ,Märta Carlsson,8:33,0
she has no missing body parts,Kimber 420,8:34,0
"Heard's lawyer said in her opening statement ""she doesn't have that talent""",Admiral Riff-Raff,8:35,0
i hope johnny will win this trial,Sea lover,8:35,0
they should go after Johnny Depp on his drinking and his personality,Ronald Jeffers,8:38,0
Support for Johnny from Canada ,Shannon Traynor,8:38,0
netherlandss,Nomi nomiii,8:40,0
@Ronald Jeffers at least jd is beautiful from the inside :cowboy_hat_face:,KisSA,8:41,0
It starts at 3pm UK time I believe ,Jess_Maddox_Xx,8:42,0
California ,Mytube777,8:44,0
"^true, Amber is cappin :billed_cap::billed_cap::billed_cap:",Benjamin Williams,8:47,0
"Watch this anywhere but here since Law and Crime are lying and destroying free speech, free press, and democracy with their illegal copyright claims. Go ANYWHERE ELSE...support free press, free speech",smasotti,8:49,0
"Johnny's sister yesterday trying to say she didn't understand the context of HER OWN TEXT where she tells Johnny ""Stop Coke"" was insane. she's like, idk the context lol",KieferClarkF1,8:50,0
Good afternoon from South Africa :beaming_face_with_smiling_eyes:,Farm Girl,8:52,0
#TeamJohnnyDepp - He doesn't beat women!,Deb,8:57,0
":newspaper:BREAKING NEWS: Analysis of the Poop on the bed is found be to 25% Amber Heard DNA , 5% Elon Musk DNA and 70% Bovine spongiform encephalopathy (commonly known as mad cow disease):cow2:",EnglishMisfit,8:57,0
amber awful,Tommy Bounds,9:02,0
OH,EvieH,9:03,0
Amber really shame on you :face_with_steam_from_nose::face_with_steam_from_nose::face_with_steam_from_nose::face_with_steam_from_nose::face_with_steam_from_nose::face_with_steam_from_nose:,The Thinker,9:03,0
we all know Amber has ruined Depp. though to suggest it's over one article has got to be fetching?,christopher millar,9:04,0
Christi needs to stop being so evasive with her answers. Not a good look. ,Marty McFly,9:08,0
Johnny is innocent. Heard is a liar.,Admiral Riff-Raff,9:08,0
I love you Johnny!!,Haley McBeth,9:13,0
Amber seems to clearly be a dishonest manipulator. ,David Mcinnis,9:13,0
Dealing with Delta which channel do you recommend? ,PhoenixConstellation,9:14,0
He was the toxic one. From the recordings he was impossible to reason with cause he was heavily intoxicated and she was forced to put up with his crap,Corina Daschievici,9:19,0
#Ambuser:police_car_light::police_car_light::police_car_light::police_car_light:,Valerie Calorie,9:22,0
WE LOVE YOU JOHNNY ,kelly Baden,9:22,0
Massachusetts here,Karen A,9:27,0
Amber :backhand_index_pointing_right::snake::snake::snake:,Benjamin Williams,9:27,0
"They may both be good people but are horrible together, they are bot toxic and guilty. Stop wasting tax payers money .",Kristina James Tucker,9:27,0
Amber will win!!!!!!!!,Talya Vaks,9:28,0
Team johnny all the way ,Vstar,9:29,0
The beep is mind numbing ,Raquel Hernandez,9:30,0
what time does it start,Keely Butler,9:33,0
I don’t know what I text someone a few days ago so I get it lol,Kentucky Chic,9:33,0
The sister should have just been honest. ,Truthshoes101,9:33,0
Yo why am i here :person_shrugging:,Rasika Purohit,9:35,0
"Wow, we got California, Netherlands, Indonesia- this is WORLD WIDE!",Mytube777,9:36,0
When does it start???,Charlie Gomm,9:44,0
9:30 or 10:00?,NurRayArt,9:44,0
They both were smashin the drink and drugs so got volatile from both imo,J4Y,9:45,0
AMBER LITERALLY SAID SHE MEANT TO HIT HIM ON A TAPE,Nicole Wilmot,9:46,0
i mean would u remember the context of ur messages 4 to 6 years later? ,Caitlin Bickford,9:49,0
"That smug look on Amber's face makes me CRINGE!!! I hope she's found guilty but, even if by some far out chance she's not... I still believe Johnny. #theaudiotapesdontlie #JUSTICEFORJOHNNYDEPP #MENTOO",peace_love&muzic,9:51,0
When did it start? I can't wait,Nissa Peony,9:52,0
Johnny will win idc what yall say!!!,Emīlija Pilskalne,9:54,0
@Steven Masotti this is absolutly correct they are striking other channels to try and get the majority of veiws and trying to own this trial. a public trial,Dealing With Delta,9:54,0
I WONT GIVE A :thumbs_up: CAUSE OF THE BEEEEEEEEEEEEEEEPPPPPPPPPPPPPPP,Ramon,9:54,0
#johnnydeppisinnocent ,Sea lover,9:57,0
#TeamSparrow,Valerie Calorie,9:57,0
#JusticeForJohnnyDepp,Emanuele Wolff,9:59,0
I love my ears,Juice Sessions,9:59,0
Amber Heard is the ambassador of women's right LMAOOO,Outraw,10:02,0
That seal clearly shows that the Greeks were the inventors of paddle boarding.....,Mark Connolly,10:04,0
What time does it start? ,Thea Haywood,10:07,0
starts in 30 minutes.,Ella Who?,10:08,0
"@Corina Daschievici From the recordings she was feeding him drugs and admited to beating him and violently attacking him. have a listen, clearly you have not.",David Mcinnis,10:11,0
Amber has hit previous people on her life and yall really on her side? go to the mental hospital,Alexandra Santos,10:11,0
Amber looks so strong and determined for justice Johnny Depp keeps looking down in shame,Ronald Jeffers,10:11,0
