messages,all_authors,timestamps,money
:green_heart::green_heart::green_heart::green_heart::green_heart::green_heart::green_heart::green_heart:,Annie Evans,0:47,0
Justice for johnny Depp,suave,0:49,0
Jesus that’s annoying af,Chanley,0:49,0
Hahahah Justice for our ears :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,Brooke B,0:49,0
@BPark what about ambers texts where she jokes about threatening Johnny with a knife? Is that not disgusting?,C.213,0:50,0
J4j,Caroline D,0:50,0
yay im early,Lia,0:50,0
:performing_arts:JUSTICE FOR JOHNSON :statue_of_liberty:,Judy Wang,0:51,0
GO JOHNNY!!,amaya Town,0:52,0
fasten your seat belts beeeeeeep,Gillian ,0:53,0
What a horrible sound :grimacing_face:,Siobhan Brogan,0:53,0
BEEEEEEEEEEP,Chloe Sky,0:54,0
it about to go down,Jackie Mendez,0:54,0
Fixed your audio its been 2 days already lol,Knilat 846,0:56,0
Hi folks :yougotthis:,Elaine Mackenzie,0:58,0
oh god the beeepp,Chloe,1:00,0
when does it start,Haley Dawn Milligan,1:00,0
AHHH,Aaisha Ditta,1:03,0
is anyone else getting sound like a siren,Jess C,1:03,0
PLEASE FIX AUDIO YO ,Shelby Johnston-Fitch,1:03,0
#justiceforourears,Duncan c,1:03,0
that beeps is horrible why????,Sassy but Classy,1:03,0
Geeez that sound i almost died ,jessica van schalkwyk,1:06,0
ah I thought it started at 3,sophie,1:08,0
Anyone that's been a victim of DV and has heard the tapes of the conversations between Johnny and Amber knows who the real victim is. It's very triggering.,JennBoogie613,1:09,0
#TEAMJOHNSON ,Zahler,1:10,0
Gotta listen from work today in my air podds,snakehands,1:12,0
Beeepppp,Jasmine Sinclair,1:12,0
#JusticeforJohnnyDepp:heart_suit:love from israel,MD G,1:16,0
we got some interesting informations today in court HAHAHA,sxvnkiss huh,1:17,0
14.00,Anna Michaelsdottir,1:17,0
mute it,The Deathly Halløws ⚯͛,1:18,0
Justice for Johnny Depp,Re Monster01,1:18,0
:face_with_tears_of_joy:Justice for our ears,Katja Matilainen,1:19,0
I ALREADY HAVE TINNITUS !!! FIXXX THIS !! ,Faye T,1:21,0
Beeeepp,Lebron official,1:21,0
I sincerely hope JD wins and win big!,Sclady48,1:22,0
justiceForJohnny !! <33,awana,1:22,0
Loved that isaac exposed amber heard yesterday,Lia,1:22,0
that sound is pretty annoying,Terry Oma,1:23,0
"What nasty texts? I didn’t see anything nasty said about amber, in fact, it should’ve been nastier. ",Darien Cabral,1:24,0
Rip ears,Sanna Freire,1:24,0
DOST THOU HAVE THY CAFFEINE?!,Brooke B,1:26,0
Beeeep if you mary again :dothefive::dothefive::dothefive::dothefive::dothefive:,Mark Koster,1:26,0
is the sound going to go away?,Binnie B,1:27,0
YES JenBoogie,audelia flowers,1:30,0
Stop thissss beeep please!,Talar Ohanes,1:30,0
:performing_arts:JUSTICE FOR JOHNSON :statue_of_liberty:,Judy Wang,1:31,0
Mornin,The Strawberry News,1:34,0
25 mpre minutes,British Scorpion,1:35,0
here you have the great seal of Virginia!,Crayon Writer,1:36,0
it moved,Gillian ,1:38,0
BRO MY EARS,Vsync,1:40,0
who is taking the stand today?,Tracy Chamoun,1:41,0
Beeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeedeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep,Maria Osornio,1:41,0
Such a long time still ,jessica van schalkwyk,1:42,0
does anyone know why this case is in VA? is that where they live now?,Blair Golsan,1:42,0
hello again everyone,Lauriel99,1:44,0
@Binnie B yeah when its start,Knilat 846,1:45,0
ouch my ears,rosie,1:46,0
#JusticeforJohnnyDepp:heart_suit:love from israel,MD G,1:50,0
love you Johnny ,Re Monster01,1:50,0
Just lower ur volumes and wait for it to start lol,K T,1:50,0
:unamused_face:,Liya Rem,1:51,0
johnson? who's dat?,The Deathly Halløws ⚯͛,1:51,0
"I will say, and jmo, johnnys sis could have been less…obtuse? She didn’t do him any favors. Came off as withholding.",Chanley,1:53,0
:grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:,Jackie Mendez,1:54,0
CONTINUE BEEPING IF YOU ON JOHNNYS SIDE ,Shelby Johnston-Fitch,1:54,0
I wish Johnny's old friend had studied up on facial creams so he could have made their lawyers speechless.,Raider Rog,1:56,0
Stop the beep!!!,Jennifer Savage,1:58,0
yes,Jostin Vannson,1:58,0
can you fix the sound????,Terry Oma,1:59,0
Credible witnesses are not those that live off the plaintiffs generosity for like 40 years and have everything to lose if he does down lol,BPark,2:00,0
Will Johnny testify? What do you think?,sm0ki,2:00,0
Hello!,Fatima Peralta,2:01,0
rip ears :grimacing_face::grimacing_face::grimacing_face::neutral_face::neutral_face::neutral_face:,The Thinker,2:04,0
Beeeeeeeeeeeeeppppp,Siobhan Brogan,2:05,0
Thought it was a tornado warning... :(,Triple Crown,2:06,0
the worst noise in the world.,Angel Schooley,2:07,0
"Being completely honest since most people pretend to be saints on the internet when someone does something wrong, I would’ve said the same thing he said on that text if somebody did all this to me.",LuchaNinja7,2:11,0
I am here to watch the seal on the wall then I switch when the case comes on,Crayon Writer,2:12,0
Another 25 minutes of this BEEEEEEEEEEEEEEEEP,Vsync,2:12,0
just turn the sound down,C M,2:13,0
I muted my tv but I still hear it. My ears are broken. ,Darien Cabral,2:13,0
LOWWR THE SOUND AND STOP COMPLAINING PEOPLE,Maria Osornio,2:14,0
my ears,Keira Pye,2:14,0
are they taking a break in the weekends or?,M Beau,2:16,0
@Jennboggie exactly hun and I can see so clearly Amber is someone with issues she's codependent and has serious fear of people leaving her and hit comes out as she's trying to manipulate Johnny,Sassy but Classy,2:16,0
how many more video clips does the ECB guy have to say yes to?,Dee,2:17,0
@knilat 846 thank you !,Binnie B,2:17,0
LOLOLOLOLOLLOLOLOLOOOLOLOLLLLOOOOOOOL :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,MarbleSky 6,2:18,0
@ audelia it brings me right back. The gas lighting is insane.,JennBoogie613,2:19,0
WHO WAS HERE YESTERDAY ? ,jessica van schalkwyk,2:22,0
Round 3… let’s go.:boxing_glove::boxing_glove::person_fencing:,Sarah Healy,2:22,0
beep if you love Johnny,Gillian ,2:23,0
"Sean Bett is testifying today, friend and security of Johnny ",C.213,2:23,0
beep indeed,TiniestTim,2:24,0
:red_heart: Issac is loyal to Jhonny but his testimony is not 100% SOLID unfortunately :red_heart: ,Létha,2:24,0
it starts in 25 mins,rosie,2:25,0
my ears,Silnaniewinna,2:25,0
:performing_arts:JUSTICE FOR JOHNSON :statue_of_liberty:,Judy Wang,2:29,0
turn off the volume ,Indigo,2:29,0
just mute for a while,Re Monster01,2:29,0
ADMIN can you please check for the sound ? thanks!,Criss,2:34,0
@Chanley she was nit prepared she should've been more confident and answered with more honesty,sxvnkiss huh,2:35,0
GUYS JUST TURN UR VOLUME OFF LMAO,ok and??,2:35,0
JOOHHNYYYY WINNNN!!!:red_heart::red_heart::red_heart::red_heart::right_facing_fist::right_facing_fist::right_facing_fist:,Катя Кувыркова,2:36,0
JUSTICE FORT JOHNNY,not kayla ,2:37,0
it's not started,Crystal Antes,2:39,0
I’m watching 21 jumpstreet lol,Draya Marie,2:39,0
